3757	計	46・1246・136
3758	詣	56・1246・13
3759	警	46・1246・13
375a	軽	56・1246・16
375b	頚	56・1246・15
375c	鶏	46・1246・123
375d	芸	46・235・146
375e	迎	46・235・13456
375f	鯨	46・235・15
3760	劇	256・235・125
3761	戟	256・235・2346
3762	撃	256・235・14
3763	激	256・235・136
3764	隙	256・235・134
3765	桁	26・234・126
3766	傑	26・1246・123
3767	欠	26・1246・16
3768	決	26・1246・126
3769	潔	26・1246・156
376a	穴	26・1246・1
376b	結	26・1246・13456
376c	血	26・1246・1235
376d	訣	26・1246・13
376e	月	26・235・1345
376f	件	456・1246・123
3770	倹	256・1246・123
3771	倦	456・1246・1236
3772	健	456・1246・1456
3773	兼	456・1246・16
3774	券	456・1246・125
3775	剣	256・1246・1345
3776	喧	456・1246・245
3777	圏	456・1246・124
3778	堅	456・1246・1235
3779	嫌	456・1246・24
377a	建	456・1246・135
377b	憲	456・1246・246
377c	懸	256・1246・16
377d	拳	256・1246・124
377e	捲	456・1246・12345
3821	検	456・1246・126
3822	権	256・1246・126
3823	牽	456・1246・1
3824	犬	456・1246・12
3825	献	256・1246・12
3826	研	456・1246・2345
3827	硯	456・1246・1256
3828	絹	456・1246・134
3829	県	456・1246・13
382a	肩	256・1246・135
382b	見	456・1246・12356
382c	謙	256・1246・13
382d	賢	256・1246・246
382e	軒	456・1246・234
382f	遣	456・1246・1345
3830	鍵	456・1246・1234
3831	険	456・1246・3
3832	顕	456・1246・15
3833	験	456・1246・14
3834	鹸	456・1246・345
3835	元	456・235・23456
3836	原	456・235・136
3837	厳	456・235・126
3838	幻	456・235・1356
3839	弦	456・235・1345
383a	減	456・235・12346
383b	源	456・235・12356
383c	玄	456・235・3
383d	現	456・235・1
383e	絃	456・235・2345
383f	舷	456・235・1346
3840	言	456・235・12
3841	諺	456・235・13
3842	限	456・235・16
3843	乎	56・246・234
3844	個	56・246・123
3845	古	56・246・1346
3846	呼	56・246・345
3847	固	56・246・135
3848	姑	56・246・13
3849	孤	56・246・246
384a	己	56・246・24
384b	庫	56・246・1234
384c	弧	56・246・1236
384d	戸	56・246・2345
384e	故	56・246・346
384f	枯	56・246・16
3850	湖	56・246・12356
3851	狐	56・246・1246
3852	糊	56・246・123456
3853	袴	56・246・2456
3854	股	56・246・145
3855	胡	235・56・246・145
3856	菰	56・246・146
3857	虎	56・246・15
3858	誇	56・246・2346
3859	跨	56・246・3
385a	鈷	235・56・246・16
385b	雇	56・246・34
385c	顧	56・246・125
385d	鼓	56・246・1345
385e	五	5・3456・15
385f	互	56・35・135
3860	伍	56・35・123
3861	午	56・35・245
3862	呉	56・35・146
3863	吾	235・56・35・245
3864	娯	56・35・24
3865	後	56・35・234
3866	御	6・35・24
3867	悟	56・35・156
3868	梧	56・35・23456
3869	檎	56・35・126
386a	瑚	235・56・35・24
386b	碁	56・35・12
386c	語	56・35・16
386d	誤	56・35・1
386e	護	56・35・13
386f	醐	56・35・2345
3870	乞	26・246・3
3871	鯉	6・15・12346
3872	交	46・246・1356
3873	佼	26・234・123
3874	侯	6・234・123
3875	候	46・246・123
3876	倖	456・234・123
3877	光	46・246・1236
3878	公	46・246・24
3879	功	46・246・1235
387a	効	6・234・126
387b	勾	6・234・1345
387c	厚	46・246・1
387d	口	46・246・146
387e	向	46・246・13456
3921	后	46・246・245
3922	喉	6・234・245
3923	坑	6・234・1235
3924	垢	26・234・125
3925	好	46・246・246
3926	孔	26・234・246
3927	孝	6・234・246
3928	宏	46・246・14
3929	工	46・246・3
392a	巧	6・234・135
