5824	悗	235・245・46・125
5825	悒	235・125・346・125
5826	悧	235・24・15・125
5827	悋	235・245・125・125
5828	惡	235・145・1・246
5829	悸	235・145・126・125
582a	惠	235・125・1246・246
582b	惓	235・245・1246・1256
582c	悴	235・1245・1456・125
582d	忰	235・1245・1456・1256
582e	悽	235・125・12456・125
582f	惆	235・24・1345・125
5830	悵	235・125・1235・125
5831	惘	235・125・56・125
5832	慍	235・245・14・125
5833	愕	235・145・2・125
5834	愆	235・245・1246・245
5835	惶	235・245・234・125
5836	惷	235・245・1456・246
5837	愀	235・24・346・125
5838	惴	235・125・256・125
5839	惺	235・125・12456・1256
583a	愃	235・145・1246・125
583b	愡	235・125・14・125
583c	惻	235・145・2456・125
583d	惱	235・125・234・125
583e	愍	235・245・3456・246
583f	愎	235・145・1346・125
5840	慇	235・245・12・245
5841	愾	235・125・2・125
5842	愨	235・145・16・246
5843	愧	235・12345・126・125
5844	慊	235・145・1246・1256
5845	愿	235・245・235・246
5846	愼	235・245・134・125
5847	愬	235・1245・456・245
5848	愴	235・125・14・1256
5849	愽	235・145・136・125
584a	慂	235・125・345・245
584b	慄	235・15・125・125
584c	慳	235・2345・1246・125
584d	慷	235・1235・246・125
584e	慘	235・2345・156・125
584f	慙	235・245・26・246
5850	慚	235・245・26・125
5851	慫	235・125・1256・246
5852	慴	235・125・134・125
5853	慯	235・125・134・1256
5854	慥	235・125・356・125
5855	慱	235・245・135・125
5856	慟	235・125・6・1256
5857	慝	235・145・2345・245
5858	慓	235・125・1236・1256
5859	慵	235・125・345・125
585a	憙	235・1245・126・246
585b	憖	235・245・23・246
585c	憇	235・1245・1246・246
585d	憬	235・1245・1246・125
585e	憔	235・125・34・125
585f	憚	235・245・135・1256
5860	憊	256・13・246
5861	憑	235・125・1236・246
5862	憫	235・245・3456・125
5863	憮	235・1245・45・125
5864	懌	235・145・124・125
5865	懊	235・1235・24・1256
5866	應	235・125・24・246
5867	懷	235・125・16・1256
5868	懈	235・1235・16・125
5869	懃	235・245・126・246
586a	懆	235・1235・2456・125
586b	憺	235・2345・135・125
586c	懋	235・125・56・246
586d	罹	235・24・15・345
586e	懍	235・245・125・1256
586f	懦	235・1245・4・125
5870	懣	235・245・1356・246
5871	懶	235・245・15・1256
5872	懺	235・245・26・1256
5873	懴	235・2345・26・125
5874	懿	235・125・12・246
5875	懽	235・24・16・1256
5876	懼	235・1245・146・1256
5877	懾	235・125・34・1256
5878	戀	235・245・1245・246
5879	戈	235・1245・16・2346
587a	戉	235・15・124・2346
587b	戍	235・24・256・2346
587c	戌	26・256・2346
587d	戔	235・245・156・2346
587e	戛	235・15・16・2346
5921	戞	235・15・16・246
5922	戡	235・245・16・2346
5923	截	46・156・246
5924	戮	235・145・125・2346
5925	戰	235・245・12456・2346
5926	戲	235・15・23・2346
5927	戳	235・145・135・2346
5928	扁	456・12346・2345
5929	扎	235・15・156・124
592a	扞	235・245・16・124
592b	扣	235・125・246・124
592c	扛	235・125・246・12345
592d	扠	235・1245・156・124
592e	扨	235・245・236・124
592f	扼	256・34・124
5930	抂	235・125・126・124
5931	抉	235・15・1246・124
5932	找	235・1245・16・124
5933	抒	235・24・356・124
5934	抓	235・125・2456・124
5935	抖	235・24・23456・124
5936	拔	235・15・46・124
5937	抃	235・245・456・124
5938	抔	235・145・234・124
5939	拗	235・125・345・124
593a	拑	235・245・16・12345
593b	抻	235・245・1256・124
593c	拏	235・1245・4・124
593d	拿	235・1245・4・12345
593e	拆	235・145・135・124
593f	擔	235・245・135・124
5940	拈	235・245・1234・124
5941	拜	235・145・13・124
5942	拌	235・245・136・124
5943	拊	235・125・13456・124
5944	拂	235・15・1346・124
5945	拇	235・1245・56・124
5946	抛	235・145・234・12345
5947	拉	235・4・15・124
5948	挌	235・145・14・124
5949	拮	26・126・124
594a	拱	235・125・126・12345
594b	挧	235・24・14・124
594c	挂	235・125・1246・124
594d	挈	235・15・1246・12345
594e	拯	235・125・236・124
594f	拵	235・245・2456・124
5950	捐	235・245・124・124
5951	挾	235・15・345・124
5952	捍	235・24・16・124
5953	搜	235・125・2456・12345
5954	捏	26・1234・124
5955	掖	235・145・124・124
5956	掎	235・1245・126・124
5957	掀	235・245・126・124
5958	掫	235・125・14・124
5959	捶	235・1245・1456・124
595a	掣	46・12456・124
595b	掏	235・125・2345・124
595c	掉	235・125・2345・12345
